dac_id	dac_code	measured_voltage	voltage_std
CS2	0	2.8535880990000004e-05	9.979719317483677e-07
CS2	100	0.003835909688	1.8598868870756417e-06
CS2	200	0.007641444794999999	7.744967728304535e-07
CS2	300	0.011450860470000001	2.4407394228184924e-06
CS2	400	0.0152561042	7.916728026148283e-06
CS2	500	0.019057855350000003	4.622632560620052e-06
CS2	600	0.0228645778	6.746159440756688e-07
CS2	700	0.026669085929999996	6.732649746566905e-07
CS2	800	0.030484593110000003	1.133705283086976e-06
CS2	900	0.034292116940000006	5.882007874862052e-07
CS2	1000	0.038079415719999996	8.07930670921707e-06
CS2	1100	0.041901297409999996	1.208280481056688e-06
CS2	1200	0.04570907381	5.739125725227313e-07
CS2	1300	0.04951859719	3.889095088436386e-06
CS2	1400	0.053323984320000004	3.4032729188254803e-07
CS2	1500	0.05713093557	4.425497961821539e-07
CS2	1600	0.060941777800000006	4.719753722381859e-07
CS2	1700	0.06474769681	5.81188789378108e-07
CS2	1800	0.06855621615999999	4.904010834039556e-06
CS2	1900	0.07236080328	2.8962640004022575e-07
CS2	2000	0.07616611028	2.0472786067389333e-06
CS2	2100	0.07997341674	3.787155296500472e-07
CS2	2200	0.08377899894	2.661477078602121e-07
CS2	2300	0.08758283113	3.969484224674347e-07
CS2	2400	0.09140026763	2.9544316387587427e-06
CS2	2500	0.09520660803	1.4999799945679575e-06
CS2	2600	0.09900917079	7.751998599739944e-07
CS2	2700	0.1028155431	1.6024041996013967e-05
CS2	2800	0.10661971960000001	5.167125312966298e-07
CS2	2900	0.11043062650000002	9.981178537605357e-07
CS2	3000	0.1142379638	7.808506512772021e-06
CS2	3100	0.11804166229999999	1.974741099484551e-06
CS2	3200	0.12185333090000001	4.77840687782132e-06
CS2	3300	0.12565699970000002	4.417269746118967e-06
CS2	3400	0.1294676732	4.5880787002873555e-06
CS2	3500	0.1332721758	2.3534046740813325e-06
CS2	3600	0.1370746382	3.3423828865063325e-06
CS2	3700	0.14087925090000003	4.8348046175618225e-06
CS2	3800	0.14468720070000002	6.3213189454432595e-06
CS2	3900	0.1484960817	3.481268592053602e-06
CS2	4000	0.1523071956	6.207017322355228e-06
CS2	4100	0.1561312311	2.180419475694059e-06
CS2	4200	0.159937479	2.8300834616666127e-06
CS2	4300	0.16374309310000001	1.7170227400929885e-06
CS2	4400	0.16755187700000002	2.2515372526360108e-06
CS2	4500	0.17135907239999998	1.6635013195043506e-06
CS2	4600	0.17515802819999998	5.058508827708861e-06
CS2	4700	0.178966712	4.033378236686745e-07
CS2	4800	0.18277852819999998	1.2500958203279796e-06
CS2	4900	0.18658860170000002	9.116785672617289e-07
CS2	5000	0.1903938184	1.1930265043181353e-06
CS2	5100	0.19419850329999996	1.0491709155344163e-06
CS2	5200	0.19800584170000002	1.3703069765604742e-06
CS2	5300	0.20181142960000004	1.3456707026584113e-06
CS2	5400	0.2056205646	2.1107408746670272e-06
CS2	5500	0.20942549430000001	1.0024603782626156e-06
CS2	5600	0.21323722469999998	3.2864042675798706e-06
CS2	5700	0.21704211829999998	2.4752624123560425e-06
CS2	5800	0.22084665509999998	1.680840233335392e-06
CS2	5900	0.22465740050000002	1.1495798580409794e-06
CS2	6000	0.22846278310000004	2.36627857404456e-06
CS2	6100	0.2322698801	1.5531371124289476e-06
CS2	6200	0.23607340429999998	1.2959183654849424e-06
CS2	6300	0.2398798198	1.284484083202613e-06
CS2	6400	0.24369386359999998	2.3003229860148387e-06
CS2	6500	0.2475000081	9.548642259527563e-07
CS2	6600	0.2513051999	1.8186930719691486e-06
CS2	6700	0.2551083611	1.431869369040213e-06
CS2	6800	0.2589152525999999	7.138374044456286e-07
CS2	6900	0.26272068070000004	6.067485558257561e-07
CS2	7000	0.2665305232	7.414848346392564e-07
CS2	7100	0.2703355855	7.793664414138177e-07
CS2	7200	0.2741503175000001	1.9318577716864888e-06
CS2	7300	0.27795754559999997	9.47402258815091e-07
CS2	7400	0.2817619899	1.2306925245571267e-06
CS2	7500	0.2855713436	8.173152635347666e-07
CS2	7600	0.2893754597	7.648120095849174e-07
CS2	7700	0.2931807902	1.597491708893424e-06
CS2	7800	0.2969839864	9.083019541957921e-07
CS2	7900	0.30078933329999996	5.053949049993353e-07
CS2	8000	0.3046040262	4.111640203132829e-06
CS2	8100	0.3084121605	5.956957696666953e-07
CS2	8200	0.312220772	5.79442835830873e-07
CS2	8300	0.3160257151	1.1408479697109143e-06
CS2	8400	0.31983127219999996	7.089284590108246e-07
CS2	8500	0.3236418292	2.8553469771677083e-06
CS2	8600	0.327447064	6.72108622174818e-07
CS2	8700	0.3312511561	2.231640627429219e-06
CS2	8800	0.33506202769999993	1.924472865488186e-06
CS2	8900	0.3388667189	4.0050819080282765e-06
CS2	9000	0.34267723370000003	8.028571541628436e-07
CS2	9100	0.34648337059999995	2.4104539489396626e-06
CS2	9200	0.3502849763	3.546507889468243e-06
CS2	9300	0.3540959628	2.806627328309078e-06
CS2	9400	0.35789964160000004	3.2224223559283893e-06
CS2	9500	0.3617125394	2.748333720637519e-06
CS2	9600	0.3655238094	5.395127802086928e-07
CS2	9700	0.3693291189	6.46748243138532e-07
CS2	9800	0.37313149309999993	4.825108733485633e-06
CS2	9900	0.3769376823	1.9301671456064264e-06
CS2	10000	0.3807464867	1.9743598987973436e-06
CS2	10100	0.38455022110000003	4.5071760216324795e-06
CS2	10200	0.3883562393	2.7824865875765095e-06
CS2	10300	0.392160992	2.2257920837375977e-06
CS2	10400	0.3959739615	1.0515328097588406e-06
CS2	10500	0.3997845163	7.61695280344614e-06
CS2	10600	0.4035885501	5.867652767530195e-07
CS2	10700	0.40739471720000003	8.289000904867498e-07
CS2	10800	0.41119715580000005	5.814909801649955e-07
CS2	10900	0.41500479710000004	4.710189911166718e-07
CS2	11000	0.4188084969	4.280435608616097e-07
CS2	11100	0.4226192922	5.872757103731994e-07
CS2	11200	0.42643115730000003	4.15753063732932e-07
CS2	11300	0.4302382724	4.497773226903251e-07
CS2	11400	0.4340445851	3.6182743124379345e-07
CS2	11500	0.4378493352	3.809020346462344e-07
CS2	11600	0.44165894129999994	6.824384294519336e-07
CS2	11700	0.44546483729999997	5.513256841494095e-07
CS2	11800	0.44926864739999994	7.088562900865396e-07
CS2	11900	0.4530731104	8.900229435252482e-07
CS2	12000	0.4568857222999999	9.669599836620117e-07
CS2	12100	0.4606955397	8.344345450607332e-07
CS2	12200	0.46449974130000005	8.41543468869054e-07
CS2	12300	0.46830666489999995	8.535785201142497e-07
CS2	12400	0.472110976	6.205304182721047e-07
CS2	12500	0.4759200545000001	7.875937087119958e-07
CS2	12600	0.47972801779999996	1.0385203705302603e-06
CS2	12700	0.48353387160000005	7.561400928479758e-07
CS2	12800	0.48734253169999997	5.366108552732094e-07
CS2	12900	0.4911494713	6.809442047558733e-07
CS2	13000	0.4949546604	7.03345889297734e-07
CS2	13100	0.49876426819999997	5.938007746753622e-07
CS2	13200	0.5025693337000001	2.567847542319107e-07
CS2	13300	0.5063735618	3.521155492222567e-07
CS2	13400	0.5101809060999999	6.004828806844593e-07
CS2	13500	0.5139810782	5.37303935961233e-06
CS2	13600	0.5178033181	3.870417160961867e-07
CS2	13700	0.521609528	3.237983940612124e-07
CS2	13800	0.5254134787	5.406290872852135e-07
CS2	13900	0.5292189263000001	4.6706467430334586e-07
CS2	14000	0.5330234762	3.448613634581147e-07
CS2	14100	0.5368336233	3.9490759678661006e-07
CS2	14200	0.5406368995000002	3.949965189730816e-07
CS2	14300	0.5444431836	3.575794177454165e-07
CS2	14400	0.5482562973999999	4.528015459328662e-07
CS2	14500	0.5520618153	4.7063086384952395e-07
CS2	14600	0.5558712490000001	5.648911399567244e-07
CS2	14700	0.5596763875	3.49891768990926e-07
CS2	14800	0.5634817407999999	4.371113816893755e-07
CS2	14900	0.5672854195	5.911710835180143e-07
CS2	15000	0.5710904794999999	5.262716503907139e-07
CS2	15100	0.5748938337999999	6.201191498476033e-07
CS2	15200	0.5787109257	3.553105824523974e-07
CS2	15300	0.5825164791999999	3.5746602634377957e-07
CS2	15400	0.5863234065	5.808354758345685e-07
CS2	15500	0.590129559	2.396276277885786e-07
CS2	15600	0.5939335021	2.947787136034133e-07
CS2	15700	0.5977435254	2.061961202426503e-07
CS2	15800	0.6015490336	3.2805950680897046e-07
CS2	15900	0.6053534761	2.2910017459304792e-07
CS2	16000	0.6091660641	3.930555813222569e-07
CS2	16100	0.6129713735	3.4887311444877716e-07
CS2	16200	0.6167806012999999	3.152802087052689e-07
CS2	16300	0.6205861236	1.0290307284184102e-06
CS2	16400	0.6243788772000001	6.754074367379098e-06
CS2	16500	0.6281855064000001	4.773870966062292e-07
CS2	16600	0.6319904197999999	3.290962777019818e-07
CS2	16700	0.6357994219	3.800445894693446e-07
CS2	16800	0.6396126804	3.607498302116127e-07
CS2	16900	0.6434172033	3.141362920709392e-07
CS2	17000	0.6472227690000001	3.826682636297516e-07
CS2	17100	0.6510293107	5.49004380668685e-07
CS2	17200	0.6548375806000001	4.0499091348097506e-07
CS2	17300	0.6586438844	4.2841223140235124e-07
CS2	17400	0.6624461897	3.145412691537061e-07
CS2	17500	0.6662562307	3.3323716780419063e-07
CS2	17600	0.6700681094	3.674507313857089e-07
CS2	17700	0.6738783126	3.2327393957308513e-07
CS2	17800	0.6776828613999999	2.9510377836241923e-07
CS2	17900	0.681486802	3.198734124754233e-07
CS2	18000	0.6852911507000001	2.5741524820026813e-07
CS2	18100	0.6890964797000001	2.448951000035559e-07
CS2	18200	0.6929057384	4.0385596442092565e-07
CS2	18300	0.6967098753000001	3.246623014737815e-07
CS2	18400	0.700521747	3.8023624234122484e-07
CS2	18500	0.7043296697	2.400791744368476e-07
CS2	18600	0.7081341874	2.6524826107167944e-07
CS2	18700	0.7119440015	3.4168062572395643e-07
CS2	18800	0.7157479908000001	4.774599040725053e-07
CS2	18900	0.7195544573	2.645683465609503e-07
CS2	19000	0.7233570548	5.102034496273493e-07
CS2	19100	0.7271637887	5.10693068296917e-07
CS2	19200	0.7309801721	5.58784654388703e-07
CS2	19300	0.7347849419	2.786465323770871e-07
CS2	19400	0.7385908844	8.164491655892452e-07
CS2	19500	0.7423986733	9.364539550886489e-07
CS2	19600	0.7462043875	4.5607833757034243e-07
CS2	19700	0.7500077392	3.2204217114182723e-07
CS2	19800	0.7538169232999999	4.881897274763077e-07
CS2	19900	0.7576224799999999	7.089939350766021e-07
CS2	20000	0.7614342771	4.341155260977482e-07
CS2	20100	0.7652397604	1.0104823798650744e-06
CS2	20200	0.7690445472999999	2.636630615087611e-07
CS2	20300	0.7728537252	4.6168989593380755e-07
