# Acquisizione a range di livelli
# Livello minimo (codice CS1): 16200
# Livello massimo (codice CS1): 23300
# Numero di punti: 1185
# Numero di campioni: 50
# Step: 6
# Tempo di settling (s): 1.0
# Timestamp: 170726_115303
step,sample,cs1_code,cs2_code,adc_raw,adc_value,sot
0,0,16200,15300,1000001111,527,0
0,1,16200,15300,1000001111,527,0
0,2,16200,15300,1000001111,527,0
0,3,16200,15300,1000010000,528,0
0,4,16200,15300,1000001111,527,0
0,5,16200,15300,1000010000,528,0
0,6,16200,15300,1000001111,527,0
0,7,16200,15300,1000001111,527,0
0,8,16200,15300,1000001111,527,0
0,9,16200,15300,1000001111,527,0
0,10,16200,15300,1000010000,528,0
0,11,16200,15300,1000010000,528,0
0,12,16200,15300,1000001111,527,0
0,13,16200,15300,1000001111,527,0
0,14,16200,15300,1000010000,528,0
0,15,16200,15300,1000001111,527,0
0,16,16200,15300,1000001111,527,0
0,17,16200,15300,1000001111,527,0
0,18,16200,15300,1000001111,527,0
0,19,16200,15300,1000001111,527,0
0,20,16200,15300,1000001111,527,0
0,21,16200,15300,1000010001,529,0
0,22,16200,15300,1000001111,527,0
0,23,16200,15300,1000010000,528,0
0,24,16200,15300,1000001111,527,0
0,25,16200,15300,1000010000,528,0
0,26,16200,15300,1000001111,527,0
0,27,16200,15300,1000010000,528,0
0,28,16200,15300,1000001111,527,0
0,29,16200,15300,1000010001,529,0
0,30,16200,15300,1000001111,527,0
0,31,16200,15300,1000001111,527,0
0,32,16200,15300,1000001111,527,0
0,33,16200,15300,1000001111,527,0
0,34,16200,15300,1000001111,527,0
0,35,16200,15300,1000001111,527,0
0,36,16200,15300,1000001111,527,0
0,37,16200,15300,1000010000,528,0
0,38,16200,15300,1000010000,528,0
0,39,16200,15300,1000010001,529,0
0,40,16200,15300,1000001111,527,0
0,41,16200,15300,1000010001,529,0
0,42,16200,15300,1000010000,528,0
0,43,16200,15300,1000001111,527,0
0,44,16200,15300,1000001111,527,0
0,45,16200,15300,1000001111,527,0
0,46,16200,15300,1000001111,527,0
0,47,16200,15300,1000010000,528,0
0,48,16200,15300,1000001111,527,0
0,49,16200,15300,1000010000,528,0
1,0,16206,15294,1000001111,527,0
1,1,16206,15294,1000010000,528,0
1,2,16206,15294,1000010001,529,0
1,3,16206,15294,1000010001,529,0
1,4,16206,15294,1000010000,528,0
1,5,16206,15294,1000001111,527,0
1,6,16206,15294,1000010000,528,0
1,7,16206,15294,1000001111,527,0
1,8,16206,15294,1000001111,527,0
1,9,16206,15294,1000001111,527,0
1,10,16206,15294,1000010000,528,0
1,11,16206,15294,1000010000,528,0
1,12,16206,15294,1000010001,529,0
1,13,16206,15294,1000010000,528,0
1,14,16206,15294,1000010000,528,0
1,15,16206,15294,1000010001,529,0
1,16,16206,15294,1000010000,528,0
1,17,16206,15294,1000010000,528,0
1,18,16206,15294,1000010000,528,0
1,19,16206,15294,1000001111,527,0
1,20,16206,15294,1000010000,528,0
1,21,16206,15294,1000010000,528,0
1,22,16206,15294,1000010000,528,0
1,23,16206,15294,1000010000,528,0
1,24,16206,15294,1000010001,529,0
1,25,16206,15294,1000010000,528,0
1,26,16206,15294,1000010001,529,0
1,27,16206,15294,1000010001,529,0
1,28,16206,15294,1000010001,529,0
1,29,16206,15294,1000001111,527,0
1,30,16206,15294,1000010000,528,0
1,31,16206,15294,1000001111,527,0
1,32,16206,15294,1000010001,529,0
1,33,16206,15294,1000010001,529,0
1,34,16206,15294,1000010001,529,0
1,35,16206,15294,1000010001,529,0
1,36,16206,15294,1000001111,527,0
1,37,16206,15294,1000010000,528,0
1,38,16206,15294,1000001111,527,0
1,39,16206,15294,1000010001,529,0
1,40,16206,15294,1000010001,529,0
1,41,16206,15294,1000010000,528,0
1,42,16206,15294,1000010000,528,0
1,43,16206,15294,1000010000,528,0
1,44,16206,15294,1000010000,528,0
1,45,16206,15294,1000010001,529,0
1,46,16206,15294,1000010000,528,0
1,47,16206,15294,1000010000,528,0
1,48,16206,15294,1000010000,528,0
1,49,16206,15294,1000010001,529,0
2,0,16212,15288,1000010000,528,0
2,1,16212,15288,1000001111,527,0
2,2,16212,15288,1000010001,529,0
2,3,16212,15288,1000010001,529,0
2,4,16212,15288,1000010001,529,0
2,5,16212,15288,1000010001,529,0
2,6,16212,15288,1000010001,529,0
2,7,16212,15288,1000010001,529,0
2,8,16212,15288,1000010001,529,0
2,9,16212,15288,1000010001,529,0
2,10,16212,15288,1000010001,529,0
2,11,16212,15288,1000010000,528,0
2,12,16212,15288,1000010000,528,0
2,13,16212,15288,1000001111,527,0
2,14,16212,15288,1000010001,529,0
2,15,16212,15288,1000010001,529,0
2,16,16212,15288,1000010001,529,0
2,17,16212,15288,1000010001,529,0
2,18,16212,15288,1000010000,528,0
2,19,16212,15288,1000010001,529,0
2,20,16212,15288,1000010001,529,0
2,21,16212,15288,1000010000,528,0
2,22,16212,15288,1000010001,529,0
2,23,16212,15288,1000010000,528,0
2,24,16212,15288,1000001111,527,0
2,25,16212,15288,1000010000,528,0
2,26,16212,15288,1000001111,527,0
2,27,16212,15288,1000010001,529,0
2,28,16212,15288,1000001111,527,0
2,29,16212,15288,1000010000,528,0
2,30,16212,15288,1000010000,528,0
