step,sample,cs1_code,cs2_code,adc_raw,adc_value,sot
0,0,200,31300,0000001010,10,0
0,1,200,31300,0000001011,11,0
0,2,200,31300,0000010011,19,0
0,3,200,31300,0000001101,13,0
0,4,200,31300,0000001010,10,0
0,5,200,31300,0000001010,10,0
0,6,200,31300,0000001101,13,0
0,7,200,31300,0000001011,11,0
0,8,200,31300,0000001100,12,0
0,9,200,31300,0000001011,11,0
0,10,200,31300,0000001011,11,0
0,11,200,31300,0000001000,8,0
0,12,200,31300,0000001000,8,0
0,13,200,31300,0000001010,10,0
0,14,200,31300,0000001010,10,0
0,15,200,31300,0000001010,10,0
0,16,200,31300,0000001011,11,0
0,17,200,31300,0000001010,10,0
0,18,200,31300,0000001000,8,0
0,19,200,31300,0000001000,8,0
0,20,200,31300,0000001010,10,0
0,21,200,31300,0000001010,10,0
0,22,200,31300,0000001011,11,0
0,23,200,31300,0000001011,11,0
0,24,200,31300,0000001011,11,0
0,25,200,31300,0000001011,11,0
0,26,200,31300,0000001101,13,0
0,27,200,31300,0000010011,19,0
0,28,200,31300,0000001100,12,0
0,29,200,31300,0000001010,10,0
0,30,200,31300,0000001011,11,0
0,31,200,31300,0000001011,11,0
0,32,200,31300,0000001101,13,0
0,33,200,31300,0000001001,9,0
0,34,200,31300,0000001001,9,0
0,35,200,31300,0000001011,11,0
0,36,200,31300,0000001011,11,0
0,37,200,31300,0000001011,11,0
0,38,200,31300,0000001010,10,0
0,39,200,31300,0000001001,9,0
0,40,200,31300,0000001010,10,0
0,41,200,31300,0000000111,7,0
0,42,200,31300,0000001010,10,0
0,43,200,31300,0000001001,9,0
0,44,200,31300,0000001010,10,0
0,45,200,31300,0000001010,10,0
0,46,200,31300,0000001100,12,0
0,47,200,31300,0000001010,10,0
0,48,200,31300,0000010000,16,0
0,49,200,31300,0000001100,12,0
1,0,300,31200,0000001011,11,0
1,1,300,31200,0000001110,14,0
1,2,300,31200,0000001100,12,0
1,3,300,31200,0000001011,11,0
1,4,300,31200,0000001110,14,0
1,5,300,31200,0000001011,11,0
1,6,300,31200,0000001101,13,0
1,7,300,31200,0000001101,13,0
1,8,300,31200,0000001101,13,0
1,9,300,31200,0000001110,14,0
1,10,300,31200,0000001110,14,0
1,11,300,31200,0000010010,18,0
1,12,300,31200,0000010010,18,0
1,13,300,31200,0000010110,22,0
1,14,300,31200,0000001111,15,0
1,15,300,31200,0000001101,13,0
1,16,300,31200,0000010010,18,0
1,17,300,31200,0000010010,18,0
1,18,300,31200,0000010001,17,0
1,19,300,31200,0000001111,15,0
1,20,300,31200,0000001111,15,0
1,21,300,31200,0000001101,13,0
1,22,300,31200,0000001101,13,0
1,23,300,31200,0000001110,14,0
1,24,300,31200,0000001100,12,0
1,25,300,31200,0000001110,14,0
1,26,300,31200,0000001011,11,0
1,27,300,31200,0000001101,13,0
1,28,300,31200,0000001101,13,0
1,29,300,31200,0000001110,14,0
1,30,300,31200,0000001111,15,0
1,31,300,31200,0000001110,14,0
1,32,300,31200,0000001111,15,0
1,33,300,31200,0000001111,15,0
1,34,300,31200,0000010111,23,0
1,35,300,31200,0000001110,14,0
1,36,300,31200,0000010010,18,0
1,37,300,31200,0000001110,14,0
1,38,300,31200,0000001110,14,0
1,39,300,31200,0000001100,12,0
1,40,300,31200,0000001110,14,0
1,41,300,31200,0000001110,14,0
1,42,300,31200,0000001110,14,0
1,43,300,31200,0000001100,12,0
1,44,300,31200,0000001011,11,0
1,45,300,31200,0000001110,14,0
1,46,300,31200,0000001101,13,0
1,47,300,31200,0000001011,11,0
1,48,300,31200,0000001110,14,0
1,49,300,31200,0000001110,14,0
2,0,400,31100,0000001111,15,0
2,1,400,31100,0000010001,17,0
2,2,400,31100,0000010010,18,0
2,3,400,31100,0000010010,18,0
2,4,400,31100,0000010010,18,0
2,5,400,31100,0000010010,18,0
2,6,400,31100,0000010010,18,0
2,7,400,31100,0000001111,15,0
2,8,400,31100,0000001111,15,0
2,9,400,31100,0000001111,15,0
2,10,400,31100,0000010010,18,0
2,11,400,31100,0000010010,18,0
2,12,400,31100,0000010010,18,0
2,13,400,31100,0000010010,18,0
2,14,400,31100,0000010010,18,0
2,15,400,31100,0000010010,18,0
2,16,400,31100,0000010010,18,0
2,17,400,31100,0000001111,15,0
2,18,400,31100,0000010010,18,0
2,19,400,31100,0000010010,18,0
2,20,400,31100,0000001110,14,0
2,21,400,31100,0000001111,15,0
2,22,400,31100,0000001111,15,0
2,23,400,31100,0000010010,18,0
2,24,400,31100,0000010010,18,0
2,25,400,31100,0000001111,15,0
2,26,400,31100,0000001111,15,0
2,27,400,31100,0000010010,18,0
2,28,400,31100,0000010010,18,0
2,29,400,31100,0000010010,18,0
2,30,400,31100,0000010010,18,0
2,31,400,31100,0000010001,17,0
2,32,400,31100,0000010001,17,0
2,33,400,31100,0000010010,18,0
2,34,400,31100,0000010010,18,0
2,35,400,31100,0000010011,19,0
2,36,400,31100,0000010011,19,0
2,37,400,31100,0000010010,18,0
2,38,400,31100,0000010010,18,0
2,39,400,31100,0000010110,22,0
2,40,400,31100,0000010101,21,0
2,41,400,31100,0000010101,21,0
2,42,400,31100,0000010101,21,0
2,43,400,31100,0000010101,21,0
2,44,400,31100,0000010011,19,0
2,45,400,31100,0000011001,25,0
2,46,400,31100,0000011010,26,0
2,47,400,31100,0000011010,26,0
2,48,400,31100,0000011010,26,0
2,49,400,31100,0000010100,20,0
3,0,500,31000,0000011110,30,0
3,1,500,31000,0000011110,30,0
3,2,500,31000,0000011000,24,0
3,3,500,31000,0000011000,24,0
3,4,500,31000,0000011000,24,0
3,5,500,31000,0000011001,25,0
3,6,500,31000,0000010110,22,0
3,7,500,31000,0000010110,22,0
3,8,500,31000,0000011000,24,0
3,9,500,31000,0000011001,25,0
3,10,500,31000,0000011000,24,0
3,11,500,31000,0000010110,22,0
3,12,500,31000,0000010111,23,0
3,13,500,31000,0000010110,22,0
3,14,500,31000,0000010111,23,0
3,15,500,31000,0000010011,19,0
3,16,500,31000,0000010011,19,0
3,17,500,31000,0000010101,21,0
3,18,500,31000,0000010101,21,0
3,19,500,31000,0000010110,22,0
3,20,500,31000,0000010110,22,0
3,21,500,31000,0000010011,19,0
3,22,500,31000,0000010101,21,0
3,23,500,31000,0000010101,21,0
3,24,500,31000,0000010011,19,0
3,25,500,31000,0000010011,19,0
3,26,500,31000,0000010011,19,0
3,27,500,31000,0000010101,21,0
3,28,500,31000,0000010101,21,0
3,29,500,31000,0000010101,21,0
3,30,500,31000,0000010110,22,0
3,31,500,31000,0000010110,22,0
3,32,500,31000,0000010101,21,0
3,33,500,31000,0000010110,22,0
3,34,500,31000,0000010110,22,0
3,35,500,31000,0000010101,21,0
3,36,500,31000,0000011001,25,0
3,37,500,31000,0000011001,25,0
3,38,500,31000,0000011001,25,0
3,39,500,31000,0000011001,25,0
3,40,500,31000,0000010110,22,0
3,41,500,31000,0000011101,29,0
3,42,500,31000,0000011000,24,0
3,43,500,31000,0000010101,21,0
3,44,500,31000,0000010101,21,0
3,45,500,31000,0000010101,21,0
3,46,500,31000,0000010101,21,0
3,47,500,31000,0000011000,24,0
3,48,500,31000,0000011001,25,0
3,49,500,31000,0000011000,24,0
4,0,600,30900,0000011011,27,0
4,1,600,30900,0000011001,25,0
4,2,600,30900,0000011001,25,0
4,3,600,30900,0000011111,31,0
4,4,600,30900,0000011110,30,0
4,5,600,30900,0000011110,30,0
4,6,600,30900,0000011010,26,0
4,7,600,30900,0000011010,26,0
4,8,600,30900,0000100000,32,0
4,9,600,30900,0000100000,32,0
4,10,600,30900,0000011011,27,0
4,11,600,30900,0000011010,26,0
4,12,600,30900,0000011010,26,0
4,13,600,30900,0000011010,26,0
4,14,600,30900,0000011001,25,0
4,15,600,30900,0000011001,25,0
4,16,600,30900,0000011001,25,0
4,17,600,30900,0000011100,28,0
4,18,600,30900,0000011100,28,0
4,19,600,30900,0000011100,28,0
4,20,600,30900,0000011001,25,0
4,21,600,30900,0000011001,25,0
4,22,600,30900,0000011001,25,0
4,23,600,30900,0000011010,26,0
4,24,600,30900,0000011010,26,0
4,25,600,30900,0000011010,26,0
4,26,600,30900,0000011001,25,0
4,27,600,30900,0000010111,23,0
4,28,600,30900,0000011000,24,0
4,29,600,30900,0000011000,24,0
4,30,600,30900,0000011000,24,0
4,31,600,30900,0000011001,25,0
4,32,600,30900,0000010110,22,0
4,33,600,30900,0000010111,23,0
4,34,600,30900,0000011000,24,0
4,35,600,30900,0000010110,22,0
4,36,600,30900,0000010111,23,0
4,37,600,30900,0000010111,23,0
4,38,600,30900,0000010111,23,0
4,39,600,30900,0000010110,22,0
4,40,600,30900,0000010110,22,0
4,41,600,30900,0000011001,25,0
4,42,600,30900,0000011001,25,0
4,43,600,30900,0000011000,24,0
4,44,600,30900,0000011000,24,0
4,45,600,30900,0000011001,25,0
4,46,600,30900,0000011010,26,0
4,47,600,30900,0000011001,25,0
4,48,600,30900,0000011000,24,0
4,49,600,30900,0000011000,24,0
5,0,700,30800,0000011100,28,0
5,1,700,30800,0000011110,30,0
5,2,700,30800,0000011110,30,0
5,3,700,30800,0000011101,29,0
5,4,700,30800,0000011110,30,0
5,5,700,30800,0000011010,26,0
5,6,700,30800,0000011010,26,0
5,7,700,30800,0000011100,28,0
5,8,700,30800,0000011100,28,0
5,9,700,30800,0000011100,28,0
5,10,700,30800,0000011100,28,0
5,11,700,30800,0000011010,26,0
5,12,700,30800,0000011100,28,0
5,13,700,30800,0000011100,28,0
5,14,700,30800,0000011100,28,0
5,15,700,30800,0000011010,26,0
5,16,700,30800,0000011100,28,0
5,17,700,30800,0000011100,28,0
5,18,700,30800,0000011100,28,0
5,19,700,30800,0000011100,28,0
5,20,700,30800,0000011100,28,0
5,21,700,30800,0000011100,28,0
5,22,700,30800,0000011100,28,0
5,23,700,30800,0000011100,28,0
5,24,700,30800,0000011100,28,0
5,25,700,30800,0000011101,29,0
5,26,700,30800,0000011100,28,0
5,27,700,30800,0000011100,28,0
5,28,700,30800,0000100000,32,0
5,29,700,30800,0000100000,32,0
5,30,700,30800,0000011100,28,0
5,31,700,30800,0000100010,34,0
5,32,700,30800,0000100010,34,0
5,33,700,30800,0000100001,33,0
5,34,700,30800,0000100010,34,0
5,35,700,30800,0000100010,34,0
5,36,700,30800,0000100010,34,0
5,37,700,30800,0000011101,29,0
5,38,700,30800,0000011100,28,0
5,39,700,30800,0000011100,28,0
5,40,700,30800,0000011100,28,0
5,41,700,30800,0000011100,28,0
5,42,700,30800,0000011111,31,0
5,43,700,30800,0000011100,28,0
5,44,700,30800,0000011100,28,0
5,45,700,30800,0000011100,28,0
5,46,700,30800,0000011100,28,0
5,47,700,30800,0000011100,28,0
5,48,700,30800,0000011111,31,0
5,49,700,30800,0000011110,30,0
6,0,800,30700,0000011111,31,0
6,1,800,30700,0000100011,35,0
6,2,800,30700,0000100011,35,0
6,3,800,30700,0000100100,36,0
6,4,800,30700,0000100000,32,0
6,5,800,30700,0000100011,35,0
6,6,800,30700,0000100000,32,0
6,7,800,30700,0000100000,32,0
6,8,800,30700,0000011111,31,0
6,9,800,30700,0000011111,31,0
6,10,800,30700,0000011111,31,0
6,11,800,30700,0000100001,33,0
6,12,800,30700,0000100001,33,0
6,13,800,30700,0000011111,31,0
6,14,800,30700,0000011111,31,0
6,15,800,30700,0000100000,32,0
6,16,800,30700,0000100000,32,0
6,17,800,30700,0000100000,32,0
6,18,800,30700,0000100000,32,0
6,19,800,30700,0000011111,31,0
6,20,800,30700,0000011111,31,0
6,21,800,30700,0000011111,31,0
6,22,800,30700,0000011111,31,0
6,23,800,30700,0000011111,31,0
6,24,800,30700,0000011111,31,0
6,25,800,30700,0000011110,30,0
6,26,800,30700,0000011101,29,0
6,27,800,30700,0000011101,29,0
6,28,800,30700,0000011101,29,0
6,29,800,30700,0000011101,29,0
6,30,800,30700,0000011101,29,0
6,31,800,30700,0000011111,31,0
6,32,800,30700,0000011101,29,0
6,33,800,30700,0000011101,29,0
6,34,800,30700,0000100000,32,0
6,35,800,30700,0000011100,28,0
6,36,800,30700,0000011101,29,0
6,37,800,30700,0000100000,32,0
6,38,800,30700,0000100000,32,0
6,39,800,30700,0000100000,32,0
6,40,800,30700,0000011111,31,0
6,41,800,30700,0000011111,31,0
6,42,800,30700,0000100001,33,0
6,43,800,30700,0000100100,36,0
