step,sample,cs1_code,cs2_code,adc_raw,adc_value,sot
24,2,24000,7500,1100001100,780,0
24,3,24000,7500,1100001100,780,0
24,4,24000,7500,1100001100,780,0
24,5,24000,7500,1100001100,780,0
25,0,25000,6500,1100101011,811,0
25,1,25000,6500,1100101100,812,0
25,2,25000,6500,1100101011,811,0
25,3,25000,6500,1101111111,895,0
25,4,25000,6500,1100101011,811,0
25,5,25000,6500,1100101100,812,0
26,0,26000,5500,1101001100,844,0
26,1,26000,5500,1101001101,845,0
26,2,26000,5500,1101001101,845,0
26,3,26000,5500,1101001100,844,0
26,4,26000,5500,1101001100,844,0
26,5,26000,5500,1101001011,843,0
27,0,27000,4500,1101101100,876,0
27,1,27000,4500,1101101100,876,0
27,2,27000,4500,1011111111,767,0
27,3,27000,4500,1101101011,875,0
27,4,27000,4500,1101101011,875,0
27,5,27000,4500,1101101011,875,0
28,0,28000,3500,1110001100,908,0
28,1,28000,3500,1110001101,909,0
28,2,28000,3500,1110001101,909,0
28,3,28000,3500,1110001101,909,0
28,4,28000,3500,1110001101,909,0
28,5,28000,3500,1111111111,1023,0
29,0,29000,2500,1110101100,940,0
29,1,29000,2500,1110101100,940,0
29,2,29000,2500,1110101101,941,0
29,3,29000,2500,1110101100,940,0
29,4,29000,2500,1110101100,940,0
29,5,29000,2500,1110100111,935,0
30,0,30000,1500,1111001110,974,0
30,1,30000,1500,1111001110,974,0
30,2,30000,1500,1111001110,974,0
30,3,30000,1500,1111001100,972,0
30,4,30000,1500,1111001101,973,0
30,5,30000,1500,1111001111,975,0
31,0,31000,500,1111101110,1006,0
31,1,31000,500,1111101101,1005,0
31,2,31000,500,1111101101,1005,0
31,3,31000,500,1111101101,1005,0
31,4,31000,500,1111101101,1005,0
31,5,31000,500,1111101101,1005,0
32,0,31500,0,1111111111,1023,0
32,1,31500,0,1111111111,1023,0
32,2,31500,0,1111111111,1023,0
32,3,31500,0,1111111111,1023,0
32,4,31500,0,1111111111,1023,0
32,5,31500,0,1111111111,1023,0
